epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,11796.2,0.83352,0.70699,0.81306,0.77129,0.67921,0.75502,0.57242,0.76608,0.65209,0.81335,0.0064558,0.0064558,0.0064558
181,11861.6,0.85279,0.71424,0.81341,0.77054,0.68109,0.75559,0.57234,0.76613,0.6517,0.81333,0.006436,0.006436,0.006436
182,11928.5,0.83959,0.7133,0.81142,0.7721,0.68197,0.75602,0.57291,0.76563,0.65086,0.81333,0.0064162,0.0064162,0.0064162
183,11995.7,0.84076,0.70687,0.81178,0.77436,0.68074,0.75623,0.57304,0.76597,0.65069,0.81334,0.0063964,0.0063964,0.0063964
184,12061.2,0.83694,0.69741,0.81224,0.77062,0.68186,0.75639,0.57363,0.7658,0.64992,0.81333,0.0063766,0.0063766,0.0063766
185,12126.4,0.83929,0.70367,0.8103,0.77599,0.67945,0.75635,0.57339,0.7656,0.6494,0.81326,0.0063568,0.0063568,0.0063568
186,12191.4,0.83734,0.69763,0.814,0.77574,0.67991,0.75676,0.57392,0.76567,0.64983,0.81324,0.006337,0.006337,0.006337
187,12256.4,0.84161,0.70735,0.81284,0.77536,0.67879,0.75665,0.57376,0.76514,0.65007,0.81322,0.0063172,0.0063172,0.0063172
188,12321.9,0.83619,0.6991,0.81118,0.77443,0.68049,0.75672,0.57381,0.76519,0.6489,0.81326,0.0062974,0.0062974,0.0062974
189,12387,0.84151,0.69991,0.81054,0.77208,0.6809,0.75676,0.57412,0.76507,0.6494,0.81318,0.0062776,0.0062776,0.0062776
190,12451.9,0.83045,0.6879,0.81168,0.77294,0.67929,0.75704,0.57442,0.7646,0.64898,0.81317,0.0062578,0.0062578,0.0062578
191,12517.2,0.83984,0.70068,0.81121,0.77318,0.67884,0.75758,0.57471,0.76419,0.64883,0.81308,0.006238,0.006238,0.006238
192,12582.3,0.83553,0.69133,0.80975,0.77391,0.6789,0.7582,0.57539,0.76465,0.64833,0.81314,0.0062182,0.0062182,0.0062182
193,12647.4,0.84571,0.70319,0.81382,0.77116,0.68055,0.75854,0.57527,0.76472,0.64833,0.81305,0.0061984,0.0061984,0.0061984
194,12712.5,0.82559,0.6798,0.80826,0.77109,0.68054,0.75855,0.57574,0.76441,0.64843,0.81298,0.0061786,0.0061786,0.0061786
195,12778.1,0.83332,0.67434,0.81123,0.75473,0.6921,0.75867,0.57568,0.76373,0.64771,0.81299,0.0061588,0.0061588,0.0061588
196,12843.3,0.83912,0.68016,0.81246,0.75871,0.6898,0.75898,0.57598,0.76422,0.64677,0.813,0.006139,0.006139,0.006139
197,12908.5,0.83294,0.67516,0.81169,0.75665,0.69032,0.75947,0.57656,0.76402,0.64669,0.81301,0.0061192,0.0061192,0.0061192
198,12973.6,0.83289,0.68389,0.80808,0.75816,0.68965,0.75979,0.57651,0.76413,0.6465,0.81291,0.0060994,0.0060994,0.0060994
199,13039.1,0.83453,0.67406,0.80914,0.75862,0.68825,0.76025,0.577,0.7635,0.64595,0.81301,0.0060796,0.0060796,0.0060796
200,13104,0.82847,0.67223,0.80989,0.75682,0.68959,0.76024,0.57671,0.76372,0.64597,0.81298,0.0060598,0.0060598,0.0060598
201,13170.4,0.83635,0.673,0.81104,0.75514,0.69241,0.76069,0.57732,0.76339,0.64619,0.81292,0.00604,0.00604,0.00604
202,13235.5,0.8362,0.68567,0.80845,0.75588,0.69395,0.76112,0.57766,0.76335,0.64613,0.81285,0.0060202,0.0060202,0.0060202
203,13300.6,0.8295,0.67025,0.80959,0.75616,0.69309,0.76181,0.57802,0.763,0.64569,0.81285,0.0060004,0.0060004,0.0060004
204,13365.8,0.83343,0.67134,0.81344,0.75582,0.69508,0.76205,0.57826,0.76353,0.64512,0.81275,0.0059806,0.0059806,0.0059806
205,13431.1,0.82523,0.66675,0.81035,0.7553,0.69765,0.76202,0.57858,0.76289,0.64527,0.81272,0.0059608,0.0059608,0.0059608
206,13496.6,0.83078,0.67056,0.81178,0.75452,0.70072,0.7624,0.57867,0.76375,0.64541,0.81277,0.005941,0.005941,0.005941
207,13561.8,0.83752,0.66347,0.8121,0.75534,0.70048,0.76306,0.57873,0.76348,0.64488,0.81277,0.0059212,0.0059212,0.0059212
208,13626.9,0.81588,0.66061,0.80766,0.75369,0.70282,0.76308,0.57886,0.76323,0.64496,0.81276,0.0059014,0.0059014,0.0059014
209,13692.2,0.81962,0.66513,0.81019,0.75441,0.70362,0.76337,0.57909,0.76259,0.64493,0.81266,0.0058816,0.0058816,0.0058816
210,13760.9,0.81781,0.66074,0.80764,0.75649,0.70306,0.76379,0.57943,0.76284,0.64439,0.81269,0.0058618,0.0058618,0.0058618
211,13826.2,0.83376,0.66441,0.81164,0.7589,0.70233,0.7641,0.57959,0.76297,0.64449,0.81266,0.005842,0.005842,0.005842
212,13891.2,0.81842,0.66009,0.80764,0.76043,0.70143,0.76433,0.57928,0.76275,0.64473,0.81264,0.0058222,0.0058222,0.0058222
213,13956.5,0.81833,0.65205,0.80972,0.76288,0.70092,0.76471,0.58,0.76261,0.644,0.81258,0.0058024,0.0058024,0.0058024
214,14021.7,0.82476,0.65048,0.80905,0.76231,0.70101,0.76529,0.58035,0.76272,0.64326,0.81252,0.0057826,0.0057826,0.0057826
215,14086.8,0.8263,0.66295,0.80886,0.76473,0.69886,0.76516,0.58034,0.76263,0.64318,0.81253,0.0057628,0.0057628,0.0057628
216,14151.7,0.83065,0.66289,0.80663,0.76501,0.69844,0.76545,0.58052,0.76259,0.64316,0.81248,0.005743,0.005743,0.005743
217,14217.2,0.82289,0.66056,0.80892,0.76521,0.69894,0.76572,0.58074,0.76263,0.6429,0.81239,0.0057232,0.0057232,0.0057232
218,14283.3,0.82298,0.65562,0.81215,0.76579,0.69831,0.76631,0.58121,0.76264,0.64337,0.81243,0.0057034,0.0057034,0.0057034
219,14348.7,0.82095,0.65328,0.80838,0.76059,0.70338,0.76686,0.58115,0.76263,0.64313,0.81242,0.0056836,0.0056836,0.0056836
220,14414,0.83259,0.6523,0.80843,0.76085,0.70253,0.76717,0.58136,0.76299,0.64309,0.81241,0.0056638,0.0056638,0.0056638
221,14479.4,0.8181,0.64232,0.80861,0.76411,0.70152,0.76726,0.58148,0.76319,0.64298,0.81244,0.005644,0.005644,0.005644
222,14546.8,0.81852,0.64427,0.81008,0.76025,0.70434,0.76756,0.58159,0.76319,0.64375,0.81244,0.0056242,0.0056242,0.0056242
223,14616.3,0.8211,0.63955,0.81102,0.76077,0.7038,0.76782,0.58183,0.76308,0.64326,0.81238,0.0056044,0.0056044,0.0056044
224,14688.7,0.83136,0.6639,0.81181,0.76373,0.70286,0.76787,0.58133,0.76334,0.64347,0.81237,0.0055846,0.0055846,0.0055846
225,14761.2,0.82527,0.64319,0.81059,0.76555,0.70303,0.76814,0.58206,0.76315,0.64321,0.81246,0.0055648,0.0055648,0.0055648
226,14831.7,0.82231,0.64952,0.81024,0.76764,0.70205,0.76875,0.58247,0.76329,0.64355,0.8124,0.005545,0.005545,0.005545
227,14899.4,0.82408,0.6375,0.80933,0.76639,0.70152,0.76898,0.58257,0.7633,0.64426,0.81236,0.0055252,0.0055252,0.0055252
228,14966.8,0.81319,0.63472,0.81022,0.76756,0.70186,0.76927,0.58252,0.76358,0.6443,0.81234,0.0055054,0.0055054,0.0055054
229,15035,0.81647,0.63334,0.8103,0.76858,0.70103,0.7694,0.58253,0.76372,0.64432,0.81233,0.0054856,0.0054856,0.0054856
230,15105.2,0.81523,0.63917,0.80715,0.76808,0.70196,0.76973,0.58282,0.76333,0.64443,0.81237,0.0054658,0.0054658,0.0054658
231,15174.2,0.81513,0.64086,0.81118,0.76906,0.70192,0.76973,0.58281,0.76356,0.64411,0.81248,0.005446,0.005446,0.005446
232,15244.9,0.81803,0.62984,0.80919,0.76929,0.70177,0.76986,0.58254,0.76386,0.64484,0.81239,0.0054262,0.0054262,0.0054262
233,15313,0.81587,0.62095,0.80934,0.76952,0.70189,0.77005,0.58303,0.76355,0.64477,0.81237,0.0054064,0.0054064,0.0054064
234,15383.5,0.81157,0.62752,0.81026,0.7683,0.70043,0.7704,0.58314,0.7634,0.64419,0.81235,0.0053866,0.0053866,0.0053866
235,15451.7,0.81181,0.63635,0.80628,0.76943,0.70198,0.77063,0.58292,0.76357,0.64515,0.8122,0.0053668,0.0053668,0.0053668
236,15524.5,0.80936,0.62969,0.80738,0.77169,0.70112,0.77072,0.58344,0.76344,0.64459,0.81226,0.005347,0.005347,0.005347
237,15599,0.80192,0.62329,0.80734,0.77244,0.7017,0.77103,0.58375,0.76336,0.64466,0.81227,0.0053272,0.0053272,0.0053272
238,15673.5,0.81831,0.62361,0.80959,0.77138,0.70232,0.77125,0.58361,0.76324,0.64458,0.81228,0.0053074,0.0053074,0.0053074
239,15749.6,0.81028,0.63541,0.80911,0.77213,0.70249,0.77148,0.58371,0.76326,0.64501,0.81235,0.0052876,0.0052876,0.0052876
240,15820.8,0.80342,0.61447,0.80472,0.77299,0.70334,0.7715,0.58405,0.76331,0.64526,0.81237,0.0052678,0.0052678,0.0052678
241,15889.4,0.8018,0.61193,0.80867,0.77262,0.70349,0.77159,0.58424,0.76335,0.64493,0.81226,0.005248,0.005248,0.005248
242,15959.3,0.80963,0.62607,0.80486,0.77104,0.70397,0.77181,0.58446,0.76314,0.6445,0.81226,0.0052282,0.0052282,0.0052282
243,16027.6,0.8026,0.61413,0.80759,0.77194,0.70623,0.77201,0.58393,0.76351,0.64507,0.8122,0.0052084,0.0052084,0.0052084
244,16095.1,0.79541,0.61679,0.807,0.77121,0.70667,0.77198,0.58431,0.76336,0.64498,0.81216,0.0051886,0.0051886,0.0051886
245,16163.7,0.80832,0.61552,0.80737,0.77168,0.70693,0.77226,0.58469,0.76363,0.64511,0.81209,0.0051688,0.0051688,0.0051688
246,16230.8,0.80011,0.60906,0.80607,0.77001,0.7074,0.77238,0.58495,0.76279,0.64415,0.81214,0.005149,0.005149,0.005149
247,16298.4,0.80108,0.61089,0.80595,0.77061,0.70711,0.77283,0.5847,0.76241,0.64424,0.81212,0.0051292,0.0051292,0.0051292
248,16365.8,0.81335,0.61733,0.81197,0.76991,0.70701,0.77309,0.58522,0.7631,0.64493,0.81217,0.0051094,0.0051094,0.0051094
249,16433.5,0.79281,0.60245,0.80632,0.77187,0.70811,0.77302,0.58486,0.76371,0.64434,0.81213,0.0050896,0.0050896,0.0050896
250,16500.7,0.80265,0.6016,0.80645,0.77323,0.70933,0.77328,0.58488,0.76359,0.64481,0.81218,0.0050698,0.0050698,0.0050698
251,16570.2,0.80985,0.61576,0.8066,0.77305,0.70908,0.77341,0.58508,0.76348,0.6445,0.81204,0.00505,0.00505,0.00505
1,81.117,0.75967,0.53473,0.80672,0.77097,0.70391,0.774,0.58662,0.76673,0.63752,0.81285,6.78177e-05,6.78177e-05,6.78177e-05
